,City,State,Country,Latitude,Longitude,discount,New_price
134,Basingstoke,England,United Kingdom,51.2666667,-1.0833333,0.5,600.0
135,Den Haag,Zuid-Holland,Netherlands,52.0833333,4.3,0.5,600.0
136,Marietta                    ,GA,United States,33.9525,-84.55,0.5,600.0
137,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
138,West Orange                 ,NJ,United States,40.79861,-74.23944,0.5,600.0
139,Amsterdam,Noord-Holland,Netherlands,52.35,4.9166667,0.5,600.0
140,Downey                      ,CA,United States,33.94,-118.13167,0.5,600.0
141,Urlingford,Kilkenny,Ireland,52.7205556,-7.5825,0.5,600.0
142,Holte,Kobenhavn,Denmark,55.8166667,12.4666667,0.5,600.0
143,Freienbach,Schwyz,Switzerland,47.2,8.75,0.5,600.0
144,Hofheim am Taunus,Hessen,Germany,50.0833333,8.45,0.5,600.0
145,Lafayette                   ,CA,United States,37.88583,-122.11693999999999,0.5,600.0
146,Mushrif,,Kuwait,29.289166700000003,48.05,0.5,600.0
147,Nashville                   ,AR,United States,33.94556,-93.84694,0.5,600.0
148,New Malden,England,United Kingdom,51.4166667,-0.25,0.5,1800.0
149,Bishop Auckland,England,United Kingdom,54.65,-1.6666667000000002,0.5,600.0
150,Navan,Meath,Ireland,53.652777799999996,-6.681388900000001,0.5,3750.0
151,Joppa,MD,United States,39.433609999999994,-76.35806,0.5,600.0
152,Joppa,MD,United States,39.433609999999994,-76.35806,0.5,600.0
153,Hampton                     ,NJ,United States,40.70694,-74.95639,0.5,600.0
154,Louisville                  ,KY,United States,38.25417,-85.75944,0.5,600.0
155,Broadlands                  ,VA,United States,39.04361,-77.48778,0.5,600.0
156,Yellowknife,Northwest Territories,Canada,62.45,-114.35,0.5,600.0
157,Los Angeles                 ,CA,United States,34.05222,-118.24278000000001,0.5,1800.0
158,New York                    ,NY,United States,40.71417,-74.00639,0.5,1800.0
159,Saint Paul                  ,MN,United States,44.94444,-93.09306,0.5,1800.0
160,New York                    ,NY,United States,40.71417,-74.00639,0.5,1800.0
161,Spring Lake Park            ,MN,United States,45.10778,-93.23778,0.5,600.0
162,Winnipeg,Manitoba,Canada,49.8833333,-97.16666670000001,0.5,600.0
163,Seattle                     ,WA,United States,47.606390000000005,-122.33083,0.5,600.0
164,Deptford                    ,NJ,United States,39.83806,-75.15306,0.5,600.0
165,Amsterdam,Noord-Holland,Netherlands,52.35,4.9166667,0.5,600.0
166,Alpharetta                  ,GA,United States,34.07528,-84.29417,0.5,600.0
167,Washington                  ,DC,United States,38.895,-77.03667,0.5,600.0
168,Holmenkollen,Oslo,Norway,59.966666700000005,10.666666699999999,0.5,600.0
169,Zekeriyakoy,Istanbul,Turkey,41.1980556,29.0302778,0.5,600.0
170,Washington                  ,DC,United States,38.895,-77.03667,0.5,600.0
171,Montreal,Quebec,Canada,45.5,-73.58333329999999,0.5,600.0
172,Braunschweig,Lower Saxony,Germany,52.2666667,10.5333333,0.5,1800.0
173,Athens                      ,GA,United States,33.96083,-83.37805999999999,0.5,600.0
174,Hoschton                    ,GA,United States,34.09639,-83.76139,0.5,600.0
175,Binningen,Basel-Country,Switzerland,47.533333299999995,7.5666667,0.5,1800.0
176,Royal Oak                   ,MI,United States,42.48944,-83.14471999999999,0.5,600.0
177,Royal Oak                   ,MI,United States,42.48944,-83.14471999999999,0.5,600.0
178,Belmont                     ,MA,United States,42.39583,-71.17917,0.5,600.0
179,Old Greenwich               ,CT,United States,41.02278,-73.56528,0.5,600.0
180,Coconut Grove               ,FL,United States,25.712220000000002,-80.25721999999999,0.5,600.0
181,Vienna                      ,VA,United States,38.901109999999996,-77.26556,0.5,600.0
182,San Ramon                   ,CA,United States,37.78,-121.97693999999998,0.5,1800.0
183,Norfolk                     ,VA,United States,36.84667,-76.28556,0.5,600.0
184,Norfolk                     ,VA,United States,36.84667,-76.28556,0.5,600.0
185,Aberdeen,Scotland,United Kingdom,57.1333333,-2.1,0.5,600.0
186,Charlestown,New South Wales,Australia,-32.95,151.66666669999998,0.5,600.0
187,Wigan,England,United Kingdom,53.533333299999995,-2.6166667,0.5,600.0
188,Rockville                   ,MD,United States,39.01806,-77.20889,0.5,600.0
189,Shreveport                  ,LA,United States,32.525,-93.75,0.5,3750.0
190,Shreveport                  ,LA,United States,32.525,-93.75,0.5,600.0
191,Little Silver               ,NJ,United States,40.33667,-74.0475,0.5,600.0
192,Abbey Town,England,United Kingdom,54.8333333,-3.2833333,0.5,600.0
193,Mid City West               ,PA,United States,39.952220000000004,-75.16417,0.5,600.0
194,Atlanta,Georgia,United States,33.74889,-84.38806,0.5,600.0
195,Paris,Ile-de-France,France,48.8666667,2.3333333,0.5,1800.0
196,Milton Keynes,England,United Kingdom,52.033333299999995,-0.7,0.5,600.0
197,Dresden,Saxony,Germany,51.05,13.75,0.5,600.0
198,NYC                         ,NY,United States,40.71417,-74.00639,0.5,600.0
199,The Grange,Queensland,Australia,-24.8166667,152.41666669999998,0.5,600.0
200,Brookline                   ,MA,United States,42.33167,-71.12167,0.5,600.0
201,Montreal-Nord,Quebec,Canada,45.6,-73.6166667,0.5,600.0
202,Irving                      ,TX,United States,32.81389,-96.94861,0.5,600.0
203,Ottawa Hills                ,OH,United States,41.66417,-83.64333,0.5,600.0
204,Portola Valley              ,CA,United States,37.384170000000005,-122.23416999999999,0.5,1800.0
205,Sydney,New South Wales,Australia,-33.8833333,151.2166667,0.5,600.0
206,Kearns                      ,UT,United States,40.66,-111.99556000000001,0.5,3750.0
207,Wollongong,New South Wales,Australia,-34.4333333,150.8833333,0.5,600.0
208,Brooklyn                    ,NY,United States,40.65,-73.95,0.5,600.0
209,Penngrove                   ,CA,United States,38.29972,-122.66556000000001,0.5,1800.0
210,Lemont                      ,IL,United States,41.67361,-88.00166999999999,0.5,600.0
211,San Carlos                  ,CA,United States,37.507220000000004,-122.25943999999998,0.5,600.0
212,Chicago                     ,IL,United States,41.85,-87.65,0.5,600.0
213,Oslo,Oslo,Norway,59.9166667,10.75,0.5,600.0
214,Wantagh,NY,United States,40.683609999999994,-73.51056,0.5,600.0
215,Coomera,Queensland,Australia,-27.883333299999997,153.3,0.5,600.0
216,Fort Oglethorpe             ,GA,United States,34.948890000000006,-85.25694,0.5,600.0
217,Corbin City                 ,NJ,United States,39.24167,-74.81555999999999,0.5,600.0
218,Lakeside                    ,CA,United States,32.85722,-116.92138999999999,0.5,600.0
219,Margate                     ,FL,United States,26.309720000000002,-80.2375,0.5,600.0
220,South Palm Beach            ,FL,United States,26.70528,-80.03667,0.5,600.0
221,New York                    ,NY,United States,40.71417,-74.00639,0.5,600.0
222,Anchorage                   ,AK,United States,61.218059999999994,-149.90028,0.5,600.0
223,Mona Vale,New South Wales,Australia,-33.6666667,151.3,0.5,1800.0
224,Castricum,Noord-Holland,Netherlands,52.55,4.6666667,0.5,600.0
225,North Brunswick             ,NJ,United States,40.4497,-74.482,0.5,600.0
226,Jacksonville                ,FL,United States,30.331940000000003,-81.65583000000001,0.5,1800.0
227,Baytown                     ,TX,United States,29.73528,-94.97721999999999,0.5,600.0
228,Winter Haven                ,FL,United States,28.02194,-81.73306,0.5,600.0
229,Gonzaga Univ                ,WA,United States,47.65889,-117.425,0.5,600.0
230,Malmo,Skane,Sweden,55.6,13.0,0.5,1800.0
231,San Pawl tat-Targa, ,Malta,35.9202778,14.4425,0.5,1800.0
232,Wiesbaden,Hessen,Germany,50.0833333,8.25,0.5,1800.0
233,London,England,United Kingdom,51.52721,0.14559,0.5,600.0
234,Stavanger,Rogaland,Norway,58.966666700000005,5.75,0.5,600.0
235,Cork,Cork,Ireland,51.898611100000004,-8.495833300000001,0.5,1800.0
236,Winchester                  ,MA,United States,42.452220000000004,-71.1375,0.5,600.0
237,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
238,Dallas                      ,TX,United States,32.78333,-96.8,0.5,600.0
239,Malahide,Dublin,Ireland,53.4508333,-6.1544444,0.5,600.0
240,Saint Paul                  ,MN,United States,44.94444,-93.09306,0.5,1800.0
241,Edinburgh,Scotland,United Kingdom,55.95,-3.2,0.5,600.0
242,Naarden,Noord-Holland,Netherlands,52.3,5.15,0.5,600.0
243,Oldenburg,Lower Saxony,Germany,53.1666667,8.2,0.5,600.0
244,Rennes,Brittany,France,48.0833333,-1.6833333,0.5,3750.0
245,Ely                         ,NV,United States,39.2475,-114.88778,0.5,600.0
246,Norfolk                     ,VA,United States,36.84667,-76.28556,0.5,600.0
247,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
248,Chepel,Budapest,Hungary,47.4166667,19.0833333,0.5,600.0
249,Buffalo Grove               ,IL,United States,41.98111,-89.595,0.5,600.0
250,Newburgh,Scotland,United Kingdom,56.3333333,-3.25,0.5,600.0
251,Vienna,Vienna,Austria,48.2,16.3666667,0.5,600.0
252,Vicenza,Veneto,Italy,45.55,11.55,0.5,600.0
253,Mechanics Grove             ,PA,United States,39.89694,-76.16389000000001,0.5,600.0
254,Miami                       ,FL,United States,25.773889999999998,-80.19389,0.5,1800.0
255,Silver Spring               ,MD,United States,38.990559999999995,-77.02639,0.5,600.0
256,Kirriemuir,Scotland,United Kingdom,56.6666667,-3.0,0.5,1800.0
257,Roquefort,Provence-Alpes-Cote d'Azur,France,43.25,5.616666700000001,0.5,600.0
258,Portland                    ,OR,United States,45.52361,-122.675,0.5,600.0
259,Staten Island               ,NY,United States,40.56472,-74.1275,0.5,600.0
260,San Antonio                 ,TX,United States,29.423890000000004,-98.49333,0.5,600.0
261,Guildford,England,United Kingdom,51.216666700000005,-0.5666667,0.5,1800.0
262,Horten,Vestfold,Norway,59.413611100000004,10.466944400000001,0.5,600.0
263,Englewood                   ,CO,United States,39.64778,-104.98722,0.5,1800.0
264,San Antonio                 ,TX,United States,29.423890000000004,-98.49333,0.5,600.0
265,Princeville                 ,HI,United States,22.22361,-159.48528000000002,0.5,600.0
266,Castleknock,Dublin,Ireland,53.3786111,-6.3922222,0.5,600.0
267,Castleknock,Dublin,Ireland,53.3786111,-6.3922222,0.5,600.0
268,Bishops Stortford,England,United Kingdom,51.8666667,0.1666667,0.5,600.0
269,Den Haag,Zuid-Holland,Netherlands,52.0833333,4.3,0.5,1800.0
270,Lafayette                   ,CA,United States,37.88583,-122.11693999999999,0.5,600.0
271,Blackpool,England,United Kingdom,53.8166667,-3.05,0.5,600.0
272,Hellerup,Kobenhavn,Denmark,55.7333333,12.583333300000001,0.5,600.0
273,London,England,United Kingdom,51.51334,-0.08895,0.5,600.0
274,N Java                      ,NY,United States,42.683609999999994,-78.33806,0.5,600.0
275,Munich,Bayern,Germany,48.15,11.583333300000001,0.5,1800.0
276,Brulon,Pays de la Loire,France,47.966666700000005,-0.23333330000000002,0.5,600.0
277,Austin                      ,TX,United States,30.26694,-97.74278000000001,0.5,600.0
278,Midland Park                ,NJ,United States,40.98917,-74.14111,0.5,600.0
279,Centerport                  ,NY,United States,40.88528,-73.37666999999999,0.5,600.0
280,Neustift am Walde,Vienna,Austria,48.25,16.3,0.5,600.0
281,Neustift am Walde,Vienna,Austria,48.25,16.3,0.5,600.0
282,Shorewood                   ,MN,United States,44.90333,-93.56611,0.5,600.0
283,Southlake                   ,TX,United States,32.941109999999995,-97.13389000000001,0.5,600.0
284,Huntington                  ,NY,United States,40.86806,-73.42611,0.5,600.0
285,The Woodlands               ,TX,United States,30.15778,-95.48917,0.5,600.0
286,Kelowna,British Columbia,Canada,49.9,-119.48333329999998,0.5,600.0
287,White House                 ,TN,United States,36.470279999999995,-86.65139,0.5,600.0
288,Rungsted,Frederiksborg,Denmark,55.8841667,12.5419444,0.5,600.0
289,Lake Mahopac                ,NY,United States,41.37222,-73.73389,0.5,600.0
290,Biot,Provence-Alpes-Cote d'Azur,France,43.6333333,7.1,0.5,1800.0
291,Plantation                  ,FL,United States,26.12194,-80.14361,0.5,1800.0
292,Killiney,Dublin,Ireland,53.252222200000006,-6.1125,0.5,600.0
293,Guer,Brittany,France,47.9,-2.1166667,0.5,600.0
294,Arlington                   ,VA,United States,38.89028,-77.08444,0.5,400.0
295,Three Hills,Alberta,Canada,51.7,-113.26666670000002,0.5,600.0
296,Great Falls,Virginia,United States,38.998059999999995,-77.28860999999999,0.5,600.0
297,London,England,United Kingdom,51.52721,0.14559,0.5,600.0
298,Clontarf,Dublin,Ireland,53.3591667,-6.2161111,0.5,600.0
299,Vancouver,British Columbia,Canada,49.25,-123.13333329999999,0.5,600.0
300,London,England,United Kingdom,51.52721,0.14559,0.5,600.0
301,Dickerson                   ,MD,United States,39.22,-77.42444,0.5,600.0
302,Princeton                   ,NJ,United States,40.34861,-74.65944,0.5,600.0
303,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
304,North Tustin                ,CA,United States,33.76444,-117.79306000000001,0.5,600.0
305,Gurgaon,Haryana,India,28.4666667,77.0333333,0.5,600.0
306,Rambouillet,Ile-de-France,France,48.65,1.8333332999999998,0.5,600.0
307,Gladwyne                    ,PA,United States,40.04056,-75.27944000000001,0.5,600.0
308,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
309,London,England,United Kingdom,51.52721,0.14559,0.5,600.0
310,Slough,England,United Kingdom,51.5,-0.5833333,0.5,600.0
311,Glan-Munchweiler,Rhineland-Palatinate,Germany,49.466666700000005,7.4333333,0.5,600.0
312,Downingtown                 ,PA,United States,40.00639,-75.70361,0.5,1800.0
313,MT Pleasant                 ,TX,United States,33.15667,-94.96806,0.5,600.0
314,Veigy-Foncenex,Rhone-Alpes,France,46.2666667,6.25,0.5,600.0
315,Katy                        ,TX,United States,29.785559999999997,-95.82417,0.5,1800.0
316,Gorey, ,Jersey,49.2,-2.0333333,0.5,600.0
317,Belgrade                    ,MT,United States,45.776109999999996,-111.17611000000001,0.5,600.0
318,Calgary,Alberta,Canada,51.0833333,-114.08333329999999,0.5,600.0
319,Toronto,Ontario,Canada,43.6666667,-79.41666670000001,0.5,600.0
320,Corrales                    ,NM,United States,35.23778,-106.60611000000002,0.5,600.0
321,Cork,Cork,Ireland,51.898611100000004,-8.495833300000001,0.5,600.0
322,Tenafly                     ,NJ,United States,40.92528,-73.96333,0.5,600.0
323,Leesburg                    ,VA,United States,39.115559999999995,-77.56389,0.5,600.0
324,Alcona,Ontario,Canada,50.0666667,-91.75,0.5,600.0
325,Kuala Lumpur,Kuala Lumpur,Malaysia,3.1666667,101.7,0.5,600.0
326,Sydney,New South Wales,Australia,-33.8833333,151.2166667,0.5,600.0
327,Nerang,Queensland,Australia,-27.983333299999998,153.33333330000002,0.5,600.0
328,Bryceville                  ,FL,United States,30.38444,-81.93889,0.5,600.0
329,Saffron Walden,England,United Kingdom,52.0166667,0.25,0.5,600.0
330,Sutton,Dublin,Ireland,53.3905556,-6.1216667000000005,0.5,600.0
331,Durban,KwaZulu-Natal,South Africa,-29.85,31.016666700000002,0.5,600.0
332,Berkeswell,England,United Kingdom,52.4,-1.6333333,0.5,600.0
333,Dryden                      ,VA,United States,36.7775,-82.94167,0.5,600.0
334,Santry,Dublin,Ireland,53.398611100000004,-6.259722200000001,0.5,600.0
335,Barcelona,Catalonia,Spain,41.3833333,2.1833332999999997,0.5,600.0
336,Fayetteville                ,NC,United States,35.0525,-78.87861,0.5,600.0
337,Anse Comeau,Quebec,Canada,49.216666700000005,-68.15,0.5,600.0
338,Thorlakshofn, ,Iceland,63.85,-21.3666667,0.5,600.0
339,Overland                    ,KS,United States,38.98222,-94.67056,0.5,1800.0
340,King City,Ontario,Canada,43.9333333,-79.5333333,0.5,600.0
341,Leighton Buzzard,England,United Kingdom,51.9166667,-0.65,0.5,600.0
342,Umea,Vasterbotten,Sweden,63.8333333,20.25,0.5,600.0
343,Sola,Rogaland,Norway,58.8833333,5.6,0.5,600.0
344,Stockton-on-Tees,England,United Kingdom,54.5833333,-1.4166667,0.5,600.0
345,Senatobia                   ,MS,United States,34.6175,-89.96861,0.5,1800.0
346,Berlin,Berlin,Germany,52.5166667,13.4,0.5,600.0
347,Waldorf                     ,MD,United States,38.62444,-76.93944,0.5,600.0
348,Brooklyn                    ,NY,United States,40.65,-73.95,0.5,600.0
349,Lakeville                   ,MN,United States,44.64972,-93.2425,0.5,600.0
350,Saint-Cergues,Rhone-Alpes,France,46.2333333,6.3166667,0.5,1800.0
351,Vancouver,British Columbia,Canada,49.25,-123.13333329999999,0.5,600.0
352,Stamford                    ,CT,United States,41.053329999999995,-73.53917,0.5,600.0
353,Rathfarnham,Dublin,Ireland,53.300555599999996,-6.2827778,0.5,600.0
354,Paris,Ile-de-France,France,48.8666667,2.3333333,0.5,1800.0
355,Howell                      ,MI,United States,42.60722,-83.92944,0.5,600.0
356,Encinitas                   ,CA,United States,33.03694,-117.29111,0.5,600.0
357,Atchison                    ,KS,United States,39.56306,-95.12139,0.5,600.0
358,Mililani                    ,HI,United States,21.42556,-157.96083000000002,0.5,1800.0
359,Victor                      ,NY,United States,42.9825,-77.40916999999999,0.5,600.0
360,Fairbanks                   ,AK,United States,64.83778000000001,-147.71639,0.5,600.0
361,Soro,Vestsjalland,Denmark,55.4333333,11.566666699999999,0.5,600.0
362,Warlingham,England,United Kingdom,51.3,-0.05,0.5,600.0
363,Hamburg,Hamburg,Germany,53.55,10.0,0.5,600.0
364,Accokeek                    ,MD,United States,38.6675,-77.02861,0.5,600.0
365,Sunnyvale                   ,CA,United States,37.36889,-122.03528,0.5,600.0
366,Ithaca                      ,NY,United States,42.44056,-76.49694000000001,0.5,600.0
367,Houston                     ,TX,United States,29.76306,-95.36306,0.5,600.0
